#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	SAV0001	chr	+	516	1878	516	1878	1	516,	1878,	1	dnaA	cmpl	cmpl	0,
585	SAV0002	chr	+	2155	3289	2155	3289	1	2155,	3289,	2	dnaN	cmpl	cmpl	0,
585	SAV0003	chr	+	3669	3915	3669	3915	1	3669,	3915,	3	none	cmpl	cmpl	0,
585	SAV0004	chr	+	3911	5024	3911	5024	1	3911,	5024,	4	recF	cmpl	cmpl	0,
585	SAV0005	chr	+	5033	6968	5033	6968	1	5033,	6968,	5	gyrB	cmpl	cmpl	0,
585	SAV0006	chr	+	7004	9674	7004	9674	1	7004,	9674,	6	gyrA	cmpl	cmpl	0,
585	SAV0007	chr	-	9761	10592	9761	10592	1	9761,	10592,	7	none	cmpl	cmpl	0,
585	SAV0008	chr	+	10899	12414	10899	12414	1	10899,	12414,	8	hutH	cmpl	cmpl	0,
585	SAV0009	chr	+	12792	14079	12792	14079	1	12792,	14079,	9	serS	cmpl	cmpl	0,
585	SAV0010	chr	+	14729	15425	14729	15425	1	14729,	15425,	10	none	cmpl	cmpl	0,
585	SAV0011	chr	+	15421	15751	15421	15751	1	15421,	15751,	11	none	cmpl	cmpl	0,
585	SAV0012	chr	+	16093	17083	16093	17083	1	16093,	17083,	12	none	cmpl	cmpl	0,
585	SAV0013	chr	+	17318	18314	17318	18314	1	17318,	18314,	13	none	cmpl	cmpl	0,
585	SAV0014	chr	+	18328	20296	18328	20296	1	18328,	20296,	14	none	cmpl	cmpl	0,
585	SAV0015	chr	+	20292	20739	20292	20739	1	20292,	20739,	15	rplI	cmpl	cmpl	0,
585	SAV0016	chr	+	20770	22171	20770	22171	1	20770,	22171,	16	dnaC	cmpl	cmpl	0,
585	SAV0017	chr	+	22448	23732	22448	23732	1	22448,	23732,	17	purA	cmpl	cmpl	0,
585	SAV0018	chr	+	24928	25636	24928	25636	1	24928,	25636,	18	vicR	cmpl	cmpl	0,
585	SAV0019	chr	+	25648	27475	25648	27475	1	25648,	27475,	19	vicK	cmpl	cmpl	0,
585	SAV0020	chr	+	27440	28802	27440	28802	1	27440,	28802,	20	none	cmpl	cmpl	0,
585	SAV0021	chr	+	28802	29591	28802	29591	1	28802,	29591,	21	none	cmpl	cmpl	0,
585	SAV0022	chr	+	29979	30780	29979	30780	1	29979,	30780,	22	none	cmpl	cmpl	0,
585	SAV0023	chr	+	31006	33325	31006	33325	1	31006,	33325,	23	none	cmpl	cmpl	0,
585	SAV0024	chr	+	33692	34172	33692	34172	1	33692,	34172,	24	none	cmpl	cmpl	0,
585	SAV0025	chr	+	34454	35750	34454	35750	1	34454,	35750,	25	none	cmpl	cmpl	0,
585	SAV0026	chr	+	36164	36404	36164	36404	1	36164,	36404,	26	none	cmpl	cmpl	0,
585	SAV0027	chr	-	36435	37110	36435	37110	1	36435,	37110,	27	tnp	cmpl	cmpl	0,
585	SAV0028	chr	-	37200	37407	37200	37407	1	37200,	37407,	28	none	cmpl	cmpl	0,
585	SAV0029	chr	-	37410	38205	37410	38205	1	37410,	38205,	29	none	cmpl	cmpl	0,
585	SAV0030	chr	-	38229	38310	38229	38310	1	38229,	38310,	30	none	cmpl	cmpl	0,
585	SAV0031	chr	-	38428	39691	38428	39691	1	38428,	39691,	31	pre	cmpl	cmpl	0,
585	SAV0032	chr	+	39799	39940	39799	39940	1	39799,	39940,	32	none	cmpl	cmpl	0,
585	SAV0033	chr	+	39987	40179	39987	40179	1	39987,	40179,	33	none	cmpl	cmpl	0,
585	SAV0034	chr	-	40197	40602	40197	40602	1	40197,	40602,	34	bleO	cmpl	cmpl	0,
585	SAV0035	chr	-	40818	41589	40818	41589	1	40818,	41589,	35	aadD	cmpl	cmpl	0,
585	SAV0036	chr	-	41781	42456	41781	42456	1	41781,	42456,	36	tnp	cmpl	cmpl	0,
585	SAV0038	chr	+	42539	42881	42539	42881	1	42539,	42881,	37	none	cmpl	cmpl	0,
585	SAV0039	chr	+	43677	44421	43677	44421	1	43677,	44421,	38	none	cmpl	cmpl	0,
585	SAV0040	chr	+	44517	44946	44517	44946	1	44517,	44946,	39	none	cmpl	cmpl	0,
585	SAV0041	chr	-	44991	46998	44991	46998	1	44991,	46998,	40	mecA	cmpl	cmpl	0,
585	SAV0042	chr	+	47097	48855	47097	48855	1	47097,	48855,	41	mecR1	cmpl	cmpl	0,
585	SAV0043	chr	+	48854	49226	48854	49226	1	48854,	49226,	42	mecI	cmpl	cmpl	0,
585	SAV0044	chr	+	49712	50843	49712	50843	1	49712,	50843,	43	xylR	cmpl	cmpl	0,
585	SAV0045	chr	-	50956	51349	50956	51349	1	50956,	51349,	44	none	cmpl	cmpl	0,
585	SAV0046	chr	-	51352	52291	51352	52291	1	51352,	52291,	45	none	cmpl	cmpl	0,
585	SAV0047	chr	-	52323	53388	52323	53388	1	52323,	53388,	46	none	cmpl	cmpl	0,
585	SAV0048	chr	+	53523	53784	53523	53784	1	53523,	53784,	47	none	cmpl	cmpl	0,
585	SAV0049	chr	+	53783	54428	53783	54428	1	53783,	54428,	48	none	cmpl	cmpl	0,
585	SAV0050	chr	-	54766	55435	54766	55435	1	54766,	55435,	49	none	cmpl	cmpl	0,
